,Course,Daytime/evening attendance,Mother's occupation,Father's occupation,Displaced,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,GDP
251,6,1,5,7,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06
252,12,1,4,4,1,1,0,0,0,8,8,8,13.25375,0,8,8,8,13.25375,9.4,-3.12
253,13,1,6,4,1,1,0,0,0,7,7,7,13.785714285714286,0,8,8,8,14.1,12.4,1.79
254,12,1,10,4,0,1,0,0,0,7,7,6,13.916666666666666,0,7,7,6,13.916666666666666,7.6,0.32
255,14,1,4,8,1,1,0,0,0,6,8,6,13.5,0,6,9,6,13.571428571428571,11.1,2.02
256,6,1,5,5,1,1,0,0,0,5,8,0,0.0,0,5,12,0,0.0,10.8,1.74
257,14,1,5,11,0,1,0,0,0,6,10,5,11.5,0,6,9,4,14.6,11.1,2.02
258,12,1,10,10,1,1,1,0,0,8,8,7,12.082857142857142,0,8,8,7,12.082857142857142,10.8,1.74
259,9,1,7,9,1,1,1,0,0,5,6,5,13.4,0,5,5,5,12.4,12.4,1.79
260,12,1,12,4,0,1,1,0,0,7,7,0,0.0,0,7,7,0,0.0,7.6,0.32
261,15,1,5,9,1,1,0,0,0,6,7,5,14.2,0,6,7,6,14.571428571428571,15.5,-4.06
262,12,1,6,6,1,1,1,0,0,8,8,7,13.814285714285717,0,8,8,7,13.814285714285717,12.7,-1.7
263,14,1,5,6,0,1,1,0,0,6,6,6,14.5,0,6,8,6,13.666666666666666,12.7,-1.7
264,14,1,3,5,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,7.6,0.32
265,12,1,10,10,1,1,0,0,0,7,7,6,11.3,0,7,7,6,11.3,7.6,0.32
266,12,1,10,4,1,1,0,0,0,8,9,7,12.3,0,8,9,7,12.3,12.7,-1.7
267,12,1,8,9,1,1,1,0,0,8,8,7,12.694285714285714,0,8,8,7,12.694285714285714,10.8,1.74
268,14,1,2,2,0,1,0,0,0,5,5,4,11.0,0,5,5,4,11.0,9.4,-3.12
269,10,1,10,4,1,1,1,0,0,6,6,6,13.0,0,6,6,6,14.166666666666666,12.4,1.79
270,12,1,3,2,0,1,1,0,0,7,8,7,14.4125,0,8,8,8,16.05,13.9,0.79
271,12,1,8,8,1,1,0,0,0,7,8,7,12.92875,0,8,8,8,14.0625,15.5,-4.06
272,15,1,10,8,1,1,0,0,0,6,6,6,13.333333333333334,0,6,10,5,12.8,11.1,2.02
273,12,1,6,6,1,1,0,0,0,8,8,7,14.402857142857142,0,8,8,7,14.402857142857142,10.8,1.74
274,12,1,10,9,1,1,1,0,0,8,8,7,13.381428571428572,0,8,8,7,13.381428571428572,10.8,1.74
275,12,1,8,6,1,1,0,0,0,7,8,7,14.13125,0,8,8,8,13.98375,15.5,-4.06
276,6,1,5,8,0,1,0,0,0,5,11,5,11.714285714285714,0,5,6,5,12.6,9.4,-3.12
277,4,1,6,7,0,1,0,0,0,6,7,0,0.0,0,6,6,0,0.0,12.4,1.79
278,16,1,10,9,0,1,0,0,0,6,9,5,13.6,0,6,8,5,12.0,12.7,-1.7
279,15,1,6,8,0,1,1,0,0,6,7,6,12.5,0,6,8,6,13.333333333333334,16.2,-0.92
280,8,1,4,3,1,1,0,0,0,5,5,5,16.4,0,5,5,5,14.6,12.7,-1.7
281,10,1,3,4,0,1,0,0,0,6,8,5,10.6,0,6,11,4,10.5,15.5,-4.06
282,9,1,4,6,1,1,0,0,0,5,8,5,10.2,0,5,6,5,12.2,12.4,1.79
283,12,1,5,9,1,1,1,0,0,8,9,8,13.31,0,8,9,8,13.31,9.4,-3.12
284,10,1,5,10,1,1,1,0,0,6,10,5,10.571428571428571,0,6,9,5,12.2,12.7,-1.7
285,12,1,10,10,1,1,1,0,0,8,8,7,13.487142857142857,0,8,8,7,13.487142857142857,10.8,1.74
286,11,1,10,8,0,1,1,0,0,6,6,6,12.333333333333334,0,6,7,6,11.833333333333334,13.9,0.79
287,14,1,8,11,0,1,0,0,0,6,11,6,11.875,0,6,9,5,12.833333333333334,11.1,2.02
288,12,1,10,10,1,1,0,0,0,7,7,6,13.966666666666669,0,7,7,6,13.966666666666669,7.6,0.32
289,14,1,4,6,1,1,0,0,0,5,8,4,11.5,0,5,5,5,12.8,7.6,0.32
290,13,1,10,10,1,1,0,0,0,2,2,2,12.5,0,7,0,0,0.0,12.4,1.79
291,12,1,1,1,0,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,7.6,0.32
292,12,1,4,4,0,1,0,0,0,7,10,6,11.98,0,8,11,7,13.225,16.2,-0.92
293,12,1,5,5,0,1,0,0,0,7,10,6,11.614285714285714,0,8,8,8,14.0375,13.9,0.79
294,12,1,2,2,1,1,1,0,0,8,8,7,14.314285714285717,0,8,8,7,14.314285714285717,12.7,-1.7
295,12,1,3,6,0,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,7.6,0.32
296,12,1,10,6,1,1,1,0,0,7,9,6,12.766666666666666,0,8,10,7,12.128571428571428,12.4,1.79
297,16,1,8,10,0,1,1,0,0,6,7,6,12.666666666666666,0,6,7,5,12.2,10.8,1.74
298,12,1,10,8,1,1,1,0,0,7,8,7,14.70625,0,8,8,8,14.4775,15.5,-4.06
299,12,1,6,6,1,1,1,0,0,7,9,6,11.814285714285717,0,8,8,7,13.542857142857144,13.9,0.79
300,14,1,6,6,0,1,0,0,0,6,7,6,14.857142857142858,0,6,6,6,13.333333333333334,12.4,1.79
301,12,1,4,3,1,1,0,0,0,7,7,6,12.6,0,7,7,6,12.6,7.6,0.32
302,13,1,10,10,0,1,0,0,0,7,9,1,10.0,0,7,0,0,0.0,12.7,-1.7
303,11,1,5,4,1,1,0,0,0,6,10,5,11.8,0,6,10,5,12.2,11.1,2.02
304,5,1,10,8,0,1,0,0,0,6,7,5,11.8,0,6,6,6,12.666666666666666,16.2,-0.92
305,12,1,8,8,0,1,0,0,0,8,8,8,12.77125,0,8,8,8,12.77125,9.4,-3.12
306,11,1,10,10,1,1,0,0,0,6,6,6,12.666666666666666,0,6,7,5,14.6,11.1,2.02
307,12,1,8,8,1,1,1,0,0,8,12,7,11.721428571428572,0,8,12,7,11.721428571428572,12.7,-1.7
308,15,1,10,4,1,1,0,0,0,6,6,6,12.666666666666666,0,6,6,6,13.666666666666666,12.7,-1.7
309,8,1,3,3,0,1,0,0,0,5,12,4,13.0,0,5,6,5,14.0,9.4,-3.12
310,9,1,5,7,0,1,0,0,0,5,6,0,0.0,0,5,5,0,0.0,15.5,-4.06
311,14,1,1,1,0,1,0,0,0,5,6,4,12.5,0,5,7,4,11.75,7.6,0.32
312,4,1,10,5,0,1,0,0,0,6,7,6,12.5,0,6,15,5,12.4,8.9,3.51
313,16,1,10,5,1,1,0,0,0,6,10,5,12.8,0,6,9,3,11.666666666666666,10.8,1.74
314,16,1,10,10,1,1,0,0,0,6,11,4,11.25,0,6,10,5,10.2,7.6,0.32
315,12,1,6,6,1,1,1,0,0,8,8,7,12.61,0,8,8,7,12.61,10.8,1.74
316,8,1,3,10,0,1,0,0,0,5,14,2,12.0,0,5,6,5,12.6,9.4,-3.12
317,7,1,10,4,0,1,0,0,0,5,12,1,12.0,0,5,9,1,11.0,16.2,-0.92
318,2,1,3,11,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12
319,8,1,3,3,1,1,0,0,0,6,11,5,13.625,0,6,9,4,11.75,16.2,-0.92
320,14,1,10,9,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,13.9,0.79
321,12,1,3,4,1,1,0,0,0,8,8,7,11.69,0,8,8,7,11.69,10.8,1.74
322,2,1,3,3,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,15.5,-4.06
323,7,1,5,5,1,1,0,0,0,5,10,1,14.0,0,5,0,0,0.0,8.9,3.51
324,11,1,5,5,0,1,0,0,0,6,7,5,11.0,0,6,7,5,12.4,15.5,-4.06
325,4,1,4,10,1,1,0,0,0,6,7,6,12.857142857142858,0,6,6,6,13.166666666666666,12.4,1.79
326,15,1,10,10,1,1,0,0,0,6,9,4,12.5,0,6,6,6,11.333333333333334,10.8,1.74
327,12,1,6,6,0,1,0,0,0,7,7,7,14.528571428571428,0,8,11,8,15.018181818181818,16.2,-0.92
328,4,1,5,11,0,1,1,0,0,6,8,6,13.0,0,6,10,6,12.625,15.5,-4.06
329,12,1,6,4,0,1,1,0,0,7,7,7,15.957142857142856,0,8,9,8,15.188888888888888,16.2,-0.92
330,9,1,10,8,1,1,0,0,0,5,8,5,13.25,0,5,8,5,11.0,13.9,0.79
331,7,1,5,6,1,1,0,0,0,5,12,3,12.0,0,5,10,3,12.0,12.4,1.79
332,7,1,4,3,1,1,0,0,0,5,10,2,11.0,0,6,10,0,0.0,11.1,2.02
333,9,1,5,5,0,1,0,0,0,5,14,0,0.0,0,5,5,0,0.0,11.1,2.02
334,2,1,10,10,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7.6,0.32
335,12,1,10,11,1,1,0,0,0,8,8,8,12.5075,0,8,8,8,12.5075,9.4,-3.12
336,8,1,10,10,1,1,0,0,0,6,6,6,13.5,0,6,9,5,13.2,8.9,3.51
337,5,1,10,10,1,1,0,0,0,6,6,6,14.166666666666666,0,6,8,6,13.625,10.8,1.74
338,14,1,4,10,0,1,0,0,0,6,7,6,14.0,0,6,7,6,14.714285714285714,8.9,3.51
339,4,1,3,5,0,1,0,0,0,3,4,0,0.0,0,3,5,0,0.0,16.2,-0.92
340,7,1,1,6,1,1,0,0,0,5,9,3,11.666666666666666,0,5,10,3,11.333333333333334,7.6,0.32
341,6,1,9,9,0,1,0,0,0,5,7,5,14.6,0,5,5,5,14.2,12.7,-1.7
342,4,1,3,3,0,1,0,0,0,6,10,5,13.0,0,6,13,5,11.5,16.2,-0.92
343,9,1,10,10,1,1,0,0,0,5,9,0,0.0,0,5,5,1,12.0,7.6,0.32
344,7,1,6,11,1,1,0,0,0,5,10,3,10.5,0,5,11,3,10.8,12.4,1.79
345,2,1,10,11,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12
346,12,1,10,10,0,1,0,0,0,8,8,7,13.828571428571427,0,8,8,7,13.828571428571427,12.7,-1.7
347,10,1,6,6,0,1,0,0,0,6,7,6,11.5,0,6,6,6,11.666666666666666,7.6,0.32
348,5,1,10,9,1,1,0,0,0,6,6,4,13.5,0,6,8,6,13.625,10.8,1.74
349,12,1,6,6,1,1,0,0,0,7,8,7,12.5375,0,8,9,7,12.614285714285714,13.9,0.79
350,9,1,10,9,1,1,0,0,0,5,10,4,12.0,0,5,9,4,12.8,13.9,0.79
351,11,1,8,8,0,1,0,0,0,6,8,5,11.8,0,6,8,5,11.6,10.8,1.74
352,9,1,4,4,0,1,1,0,0,5,5,5,15.0,0,5,5,5,15.2,12.7,-1.7
353,6,1,12,12,0,1,0,0,0,5,7,3,12.0,0,5,7,5,13.2,7.6,0.32
354,15,1,10,9,1,1,1,0,0,6,6,6,12.833333333333334,0,6,7,6,12.285714285714286,15.5,-4.06
355,11,1,10,4,1,1,0,0,0,6,12,6,11.666666666666666,0,6,14,3,12.0,7.6,0.32
356,13,1,6,5,0,1,0,0,0,7,9,7,12.1625,0,8,8,8,13.825,13.9,0.79
357,14,1,10,4,1,1,0,0,0,6,6,6,13.833333333333334,0,6,11,6,14.555555555555555,10.8,1.74
358,14,1,8,5,0,1,0,0,0,6,7,6,12.666666666666666,0,6,9,6,13.77777777777778,10.8,1.74
359,8,1,10,10,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79
360,12,1,4,9,0,1,1,0,0,7,9,7,13.055555555555555,0,8,8,8,15.8125,13.9,0.79
361,8,1,4,3,1,1,1,0,0,5,7,0,0.0,0,5,5,0,0.0,7.6,0.32
362,12,1,8,8,1,1,1,0,0,8,8,7,12.355714285714283,0,8,8,7,12.355714285714283,10.8,1.74
363,6,1,32,44,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79
364,16,1,29,41,1,1,1,0,0,7,7,7,13.857142857142858,0,7,8,7,12.571428571428571,8.9,3.51
365,5,1,2,2,1,1,0,0,0,6,6,6,12.833333333333334,0,6,10,6,11.166666666666666,12.4,1.79
366,12,1,10,10,1,1,1,0,0,8,8,7,12.357142857142858,0,8,8,7,12.357142857142858,12.7,-1.7
367,12,1,10,10,1,1,1,0,0,8,8,7,13.857142857142858,0,8,8,7,13.857142857142858,12.7,-1.7
368,10,1,8,9,1,1,1,0,0,6,6,6,12.333333333333334,0,6,6,6,10.666666666666666,9.4,-3.12
369,12,1,10,9,1,1,0,0,0,7,8,7,12.847142857142858,0,8,10,8,13.788888888888888,16.2,-0.92
370,12,1,5,8,1,1,1,0,0,7,9,6,12.339999999999998,0,8,9,8,13.01875,11.1,2.02
371,15,1,5,6,1,1,0,0,0,6,6,6,13.833333333333334,0,6,6,6,12.5,12.7,-1.7
372,9,1,5,4,1,1,0,0,0,5,15,2,10.75,0,5,11,2,10.0,13.9,0.79
373,16,1,10,8,1,1,0,0,0,6,11,4,13.25,0,6,10,4,10.25,9.4,-3.12
374,12,1,8,6,1,1,1,0,0,8,8,8,13.73125,0,8,8,8,13.73125,9.4,-3.12
375,5,1,10,10,0,1,1,0,0,6,6,6,13.333333333333334,0,6,8,3,12.666666666666666,11.1,2.02
376,16,1,10,9,1,1,0,0,0,6,8,5,12.0,0,6,9,5,10.8,12.7,-1.7
377,12,1,10,8,1,1,0,0,0,7,8,7,13.025,0,8,9,8,13.811111111111112,13.9,0.79
378,15,1,6,7,1,1,0,0,0,6,6,6,13.0,0,6,6,6,14.166666666666666,12.4,1.79
379,15,1,10,10,1,1,0,0,0,6,10,5,11.8,0,6,10,5,12.0,10.8,1.74
380,12,1,10,10,0,1,1,0,0,8,8,7,12.042857142857144,0,8,8,7,12.042857142857144,12.7,-1.7
381,12,1,6,8,0,1,1,0,0,7,8,7,12.8375,0,8,8,8,15.5,13.9,0.79
382,13,1,29,44,0,1,1,0,0,7,13,7,11.0,0,8,13,7,11.7,12.7,-1.7
383,14,1,10,8,1,1,1,0,0,6,7,6,13.5,0,6,9,5,14.0,8.9,3.51
384,10,1,8,6,1,1,1,0,0,6,8,6,12.125,0,6,7,6,12.714285714285714,16.2,-0.92
385,12,1,10,10,0,1,1,0,0,8,12,7,12.62857142857143,0,8,12,7,12.62857142857143,12.7,-1.7
386,10,1,5,6,0,1,0,0,0,6,11,5,11.2,0,6,13,5,11.6,15.5,-4.06
387,15,1,4,4,0,1,1,0,0,6,6,6,12.666666666666666,0,6,6,6,11.833333333333334,12.7,-1.7
388,14,1,6,2,1,1,0,0,0,5,6,4,11.5,0,5,5,4,10.75,9.4,-3.12
389,10,1,6,1,1,1,0,0,0,6,8,6,15.375,0,6,7,6,16.428571428571427,16.2,-0.92
390,12,1,5,4,0,1,0,0,0,8,11,7,12.614285714285714,0,8,11,7,12.614285714285714,12.7,-1.7
391,15,1,4,6,0,1,0,0,0,6,13,4,11.75,0,6,10,4,11.0,10.8,1.74
392,5,1,6,11,0,1,0,0,0,6,6,5,12.4,0,6,9,5,12.4,12.7,-1.7
393,4,1,10,10,0,1,0,0,0,6,6,0,0.0,0,6,6,0,0.0,11.1,2.02
394,4,1,5,3,0,1,0,0,0,6,6,6,15.833333333333334,0,6,8,6,15.5,15.5,-4.06
395,15,1,5,2,1,1,0,0,0,6,7,6,12.571428571428571,0,6,6,6,13.666666666666666,13.9,0.79
396,14,1,1,1,1,1,0,0,0,5,7,3,12.0,0,5,7,4,13.25,7.6,0.32
397,12,1,10,8,1,1,0,0,0,7,8,7,13.3625,0,8,9,8,14.444444444444445,13.9,0.79
398,12,1,5,9,1,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,12.4,1.79
399,10,1,10,10,1,1,1,0,0,6,8,6,14.25,0,6,8,6,11.0,12.7,-1.7
400,12,1,10,8,1,1,1,0,0,7,8,7,12.285714285714286,0,8,10,8,11.7375,12.4,1.79
401,5,1,4,4,1,1,0,0,0,6,7,6,11.666666666666666,0,6,7,5,13.2,12.7,-1.7
402,11,1,6,9,1,1,0,0,0,6,8,6,12.166666666666666,0,6,6,6,13.5,11.1,2.02
403,16,1,10,10,1,1,0,0,0,6,11,2,10.0,0,6,15,2,11.0,7.6,0.32
404,5,1,6,8,1,1,0,0,0,6,6,6,14.0,0,6,6,6,15.0,11.1,2.02
405,12,1,10,9,1,1,0,0,0,7,8,7,11.8375,0,8,9,8,12.48125,13.9,0.79
406,8,1,10,5,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06
407,9,1,6,6,1,1,0,0,0,5,15,4,13.333333333333334,0,5,6,2,13.5,13.9,0.79
408,4,1,10,2,1,1,0,0,0,6,12,5,12.6,0,6,11,6,11.714285714285714,12.4,1.79
409,7,1,6,8,0,1,0,0,0,5,10,3,17.333333333333332,0,5,11,1,17.0,13.9,0.79
410,9,1,10,4,0,1,0,0,0,5,9,3,14.0,0,5,8,3,13.666666666666666,8.9,3.51
411,6,1,12,12,0,1,0,0,0,5,7,4,13.5,0,5,6,5,11.6,7.6,0.32
412,12,1,3,3,0,1,0,0,0,8,8,7,13.105714285714283,0,8,8,7,13.105714285714283,10.8,1.74
413,6,1,7,7,0,1,0,0,0,5,8,5,13.5,0,5,5,5,14.4,9.4,-3.12
414,8,1,1,12,0,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32
415,2,1,10,6,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7.6,0.32
416,4,1,5,7,0,1,0,0,0,6,12,5,12.142857142857142,0,6,11,5,11.666666666666666,13.9,0.79
417,11,1,7,7,1,1,0,0,0,6,9,6,12.0,0,6,8,5,11.6,13.9,0.79
418,9,1,5,8,0,1,0,0,0,5,10,3,11.666666666666666,0,5,7,4,12.75,9.4,-3.12
419,8,1,7,8,1,1,0,0,0,6,9,0,0.0,0,6,6,0,0.0,16.2,-0.92
420,14,1,5,11,1,1,0,0,0,6,10,6,11.875,0,6,8,5,12.0,11.1,2.02
421,11,1,6,8,1,1,0,0,0,6,17,2,10.0,0,6,15,3,11.333333333333334,7.6,0.32
422,5,1,10,8,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79
423,11,1,3,3,0,1,0,0,0,6,7,6,14.428571428571429,0,6,6,6,12.5,8.9,3.51
424,12,1,4,4,1,1,0,0,0,7,8,5,14.2,0,7,9,6,12.4,12.4,1.79
425,15,1,10,10,1,1,0,0,0,6,7,5,13.0,0,6,6,6,15.0,9.4,-3.12
426,14,1,12,4,1,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32
427,12,1,6,4,1,1,0,0,0,7,7,7,13.471428571428572,0,8,9,8,13.944444444444445,16.2,-0.92
428,14,1,6,6,1,1,0,0,0,5,5,4,11.75,0,5,5,3,13.333333333333334,9.4,-3.12
429,5,1,10,10,1,1,1,0,0,6,9,6,13.333333333333334,0,6,10,6,14.666666666666666,12.7,-1.7
430,12,1,4,4,1,1,1,0,0,8,8,8,13.105,0,8,8,8,13.105,9.4,-3.12
431,5,1,10,10,1,1,1,0,0,6,6,6,15.5,0,6,7,6,12.166666666666666,12.4,1.79
432,11,1,4,4,1,1,0,0,0,6,10,6,12.333333333333334,0,6,9,4,13.0,12.4,1.79
433,14,1,6,6,1,1,0,0,0,6,6,6,15.166666666666666,0,6,9,6,14.0,10.8,1.74
434,6,1,10,10,1,1,1,0,0,6,8,6,15.142857142857142,0,6,8,6,15.142857142857142,11.1,2.02
435,15,1,6,6,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79
436,10,1,5,11,1,1,0,0,0,6,7,6,12.333333333333334,0,6,7,6,12.166666666666666,9.4,-3.12
437,6,1,5,5,0,1,0,0,0,6,7,6,15.0,0,6,8,6,15.625,12.4,1.79
438,15,1,6,6,1,1,1,0,0,6,6,6,12.5,0,6,6,6,13.833333333333334,16.2,-0.92
439,15,1,8,8,1,1,1,0,0,6,6,6,15.0,0,6,6,6,15.5,8.9,3.51
440,14,1,6,5,1,1,0,0,0,6,10,2,11.666666666666666,0,6,10,4,10.5,15.5,-4.06
441,12,1,4,9,0,1,1,0,0,7,10,7,14.668,0,8,8,8,14.63375,15.5,-4.06
442,15,1,10,10,1,1,1,0,0,6,7,5,12.8,0,6,6,6,12.333333333333334,12.4,1.79
443,10,1,2,2,1,1,0,0,0,6,10,6,10.833333333333334,0,6,7,6,12.142857142857142,11.1,2.02
444,5,1,2,3,1,1,0,0,0,6,6,6,13.666666666666666,0,6,6,5,14.0,12.7,-1.7
445,12,1,5,6,0,1,0,0,0,8,8,7,14.537142857142856,0,8,8,7,14.537142857142856,10.8,1.74
446,6,1,1,12,0,1,1,0,0,5,5,5,14.4,0,5,5,5,14.0,7.6,0.32
447,2,1,6,5,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,12.7,-1.7
448,15,1,10,10,0,1,1,0,0,6,6,6,13.166666666666666,0,6,6,6,13.833333333333334,11.1,2.02
449,10,1,10,3,0,1,1,0,0,6,7,6,11.333333333333334,0,6,7,6,12.428571428571429,11.1,2.02
450,10,1,3,6,1,1,0,0,0,6,6,6,12.0,0,6,6,5,13.6,8.9,3.51
451,15,1,4,4,0,1,1,0,0,6,6,6,13.166666666666666,0,6,6,6,12.166666666666666,12.4,1.79
452,15,1,6,9,1,1,1,0,0,6,6,6,14.833333333333334,0,6,6,6,14.166666666666666,8.9,3.51
453,12,1,5,9,1,1,0,0,0,7,8,7,13.087142857142856,0,8,8,8,12.95,11.1,2.02
454,8,1,10,10,1,1,1,0,0,6,8,6,13.333333333333334,0,6,7,6,13.666666666666666,8.9,3.51
455,9,1,6,6,1,1,0,0,0,5,7,5,13.6,0,5,6,5,12.2,8.9,3.51
456,15,1,10,10,1,1,0,0,0,6,6,6,15.5,0,6,6,6,14.0,11.1,2.02
457,16,1,6,4,0,1,0,0,0,7,7,7,13.857142857142858,0,7,7,7,14.285714285714286,11.1,2.02
458,5,1,4,6,1,1,1,0,0,6,6,6,13.0,0,6,6,6,12.166666666666666,16.2,-0.92
459,15,1,5,8,1,1,0,0,0,4,4,0,0.0,0,6,0,0,0.0,8.9,3.51
460,16,1,6,8,1,1,1,0,0,7,8,7,12.142857142857142,0,7,9,6,13.666666666666666,11.1,2.02
461,12,1,10,10,0,1,1,0,0,7,7,7,14.145714285714286,0,8,9,8,13.627777777777778,11.1,2.02
462,12,1,4,4,0,1,0,0,0,7,7,7,14.45,0,8,9,8,14.144444444444444,11.1,2.02
463,16,1,5,5,0,1,0,0,0,7,7,7,15.714285714285714,0,7,7,7,15.0,11.1,2.02
464,5,1,5,5,1,1,0,0,0,6,6,6,14.5,0,6,6,6,12.833333333333334,12.4,1.79
465,9,1,10,10,1,1,1,0,0,5,10,5,12.0,0,5,8,4,11.6,13.9,0.79
466,2,1,10,4,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,13.9,0.79
467,10,1,10,10,1,1,1,0,0,6,7,6,12.571428571428571,0,6,7,6,13.285714285714286,12.4,1.79
468,15,1,10,10,1,1,1,0,0,6,6,6,12.5,0,6,6,6,11.5,11.1,2.02
469,14,1,5,4,1,1,0,0,0,6,8,6,14.0,0,6,9,5,14.0,8.9,3.51
470,16,1,6,8,1,1,0,0,0,7,8,7,11.571428571428571,0,7,9,6,13.166666666666666,11.1,2.02
471,5,1,10,8,1,1,1,0,0,6,6,6,15.833333333333334,0,6,6,6,15.333333333333334,11.1,2.02
472,12,1,5,6,1,1,0,0,0,8,8,8,14.25,0,8,8,8,14.25,9.4,-3.12
473,14,1,4,6,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06
474,11,1,4,4,1,1,0,0,0,6,8,6,11.666666666666666,0,6,10,6,11.0,13.9,0.79
475,10,1,1,1,0,1,0,0,0,6,12,0,0.0,0,5,10,0,0.0,7.6,0.32
476,7,1,12,6,1,1,0,0,0,5,6,0,0.0,0,5,5,0,0.0,7.6,0.32
477,7,1,4,5,1,1,0,0,0,5,10,3,13.333333333333334,0,5,9,4,10.75,8.9,3.51
478,9,1,4,11,1,1,0,0,0,5,5,5,13.8,0,5,7,5,12.4,9.4,-3.12
479,12,1,10,6,1,1,0,0,0,7,7,6,14.016666666666666,0,7,7,6,14.016666666666666,7.6,0.32
480,10,1,10,10,1,1,0,0,0,6,9,5,11.4,0,6,8,5,10.8,9.4,-3.12
481,9,1,10,10,0,1,0,0,0,5,11,3,10.666666666666666,0,5,9,4,10.25,11.1,2.02
482,12,1,2,2,1,1,0,0,0,7,9,7,13.761111111111113,0,8,11,7,12.82375,15.5,-4.06
483,10,1,10,10,1,1,1,0,0,6,7,6,13.857142857142858,0,6,6,6,14.166666666666666,10.8,1.74
484,12,1,10,10,0,1,1,0,0,8,8,7,13.842857142857143,0,8,8,7,13.842857142857143,12.7,-1.7
485,15,1,5,2,1,1,0,0,0,6,6,5,11.8,0,6,9,0,0.0,16.2,-0.92
486,10,1,5,4,1,1,0,0,0,6,6,6,12.666666666666666,0,6,6,6,13.833333333333334,10.8,1.74
487,4,1,10,11,0,1,0,0,0,6,6,0,0.0,0,6,6,0,0.0,11.1,2.02
488,7,1,5,7,1,1,0,0,0,5,7,0,0.0,0,5,5,0,0.0,7.6,0.32
489,15,1,1,4,0,1,0,0,0,6,11,4,10.75,0,6,13,2,10.0,7.6,0.32
490,7,1,6,5,1,1,0,0,0,5,7,5,12.6,0,5,9,3,13.25,13.9,0.79
491,12,1,5,11,1,1,1,0,0,7,7,7,14.682857142857143,0,8,9,8,15.055555555555555,12.4,1.79
492,7,1,12,12,0,1,0,0,0,3,3,0,0.0,0,5,0,0,0.0,10.8,1.74
493,7,1,4,8,0,1,1,0,0,5,6,0,0.0,0,5,7,0,0.0,12.4,1.79
494,11,1,5,6,0,1,0,0,0,6,7,6,13.857142857142858,0,6,7,5,12.8,16.2,-0.92
495,2,1,10,8,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12
496,11,1,29,44,0,1,0,0,0,6,8,6,13.142857142857142,0,6,7,6,12.5,8.9,3.51
497,7,1,1,1,1,1,0,0,0,5,14,1,18.0,0,5,9,2,13.0,9.4,-3.12
498,4,1,32,45,0,1,0,0,0,6,6,5,15.0,0,6,8,4,14.5,8.9,3.51
499,12,1,10,10,0,1,1,0,0,7,9,7,14.244444444444444,0,8,12,8,12.233333333333333,15.5,-4.06
500,5,1,10,10,0,1,1,0,0,6,8,4,11.5,0,6,7,5,11.0,15.5,-4.06
501,13,1,5,6,0,1,1,0,0,7,7,2,10.0,0,7,7,0,0.0,15.5,-4.06
502,14,1,8,11,0,1,0,0,0,5,7,3,12.333333333333334,0,5,5,5,11.6,9.4,-3.12
503,5,1,10,9,1,1,1,0,0,6,6,6,13.666666666666666,0,6,7,5,13.2,12.4,1.79
504,2,1,3,6,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12
505,12,1,5,10,1,1,1,0,0,8,12,7,12.599999999999998,0,8,12,7,12.599999999999998,10.8,1.74
506,15,1,1,1,1,1,0,0,0,6,6,6,13.166666666666666,0,6,6,6,13.0,7.6,0.32
507,12,1,5,8,0,1,1,0,0,7,7,7,14.014285714285714,0,8,8,8,15.35,13.9,0.79
508,15,1,10,6,0,1,1,0,0,6,9,4,13.0,0,6,13,4,11.25,10.8,1.74
