,Application order,Course,Daytime/evening attendance,Mother's occupation,Father's occupation,Displaced,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,GDP,Target
395,4,12,1,5,10,1,1,1,0,0,8,11,7,12.86,0,8,11,7,12.86,10.8,1.74,1
398,1,14,1,6,9,1,1,0,0,0,6,6,5,11.8,0,6,9,4,13.714285714285714,10.8,1.74,0
399,1,9,1,7,5,1,1,0,0,0,5,10,3,10.666666666666666,0,5,9,0,0.0,16.2,-0.92,0
404,1,12,1,6,6,1,1,0,0,0,8,8,7,14.731428571428571,0,8,8,7,14.731428571428571,10.8,1.74,1
405,1,2,1,4,10,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,12.7,-1.7,1
408,1,10,1,5,5,0,1,0,0,0,6,6,6,14.666666666666666,0,6,7,6,14.571428571428571,15.5,-4.06,1
409,1,6,1,1,1,0,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32,0
410,2,12,1,8,8,1,1,1,0,0,8,8,7,14.654285714285717,0,8,8,7,14.654285714285717,10.8,1.74,1
411,1,12,1,5,9,0,1,0,0,0,8,8,7,12.401428571428571,0,8,8,7,12.401428571428571,10.8,1.74,1
412,3,12,1,5,11,1,1,0,0,0,7,8,7,11.5875,0,8,9,7,14.071428571428571,13.9,0.79,1
414,1,10,1,10,8,1,1,1,0,0,6,9,6,12.333333333333334,0,6,6,6,11.833333333333334,8.9,3.51,1
415,1,6,1,12,12,0,1,0,0,0,5,5,5,14.0,0,5,6,5,15.4,7.6,0.32,1
416,1,6,1,10,10,1,1,0,0,0,6,13,6,15.23076923076923,0,6,10,6,12.375,15.5,-4.06,1
417,1,16,1,10,10,1,1,0,0,0,6,9,5,11.6,0,6,9,3,11.0,12.7,-1.7,0
418,4,12,1,10,10,1,1,1,0,0,7,7,6,11.6,0,7,7,6,11.6,7.6,0.32,1
419,4,12,1,5,6,0,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,12.7,-1.7,0
420,1,12,1,3,9,0,1,1,0,0,7,7,7,12.901428571428571,0,8,9,8,13.094444444444443,11.1,2.02,1
422,1,6,1,5,7,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,0
423,6,12,1,4,4,1,1,0,0,0,8,8,8,13.25375,0,8,8,8,13.25375,9.4,-3.12,1
424,6,13,1,6,4,1,1,0,0,0,7,7,7,13.785714285714286,0,8,8,8,14.1,12.4,1.79,1
425,1,12,1,10,4,0,1,0,0,0,7,7,6,13.916666666666666,0,7,7,6,13.916666666666666,7.6,0.32,1
426,4,14,1,4,8,1,1,0,0,0,6,8,6,13.5,0,6,9,6,13.571428571428571,11.1,2.02,1
428,2,6,1,5,5,1,1,0,0,0,5,8,0,0.0,0,5,12,0,0.0,10.8,1.74,0
429,1,14,1,5,11,0,1,0,0,0,6,10,5,11.5,0,6,9,4,14.6,11.1,2.02,1
430,3,12,1,10,10,1,1,1,0,0,8,8,7,12.082857142857142,0,8,8,7,12.082857142857142,10.8,1.74,1
432,2,9,1,7,9,1,1,1,0,0,5,6,5,13.4,0,5,5,5,12.4,12.4,1.79,1
433,1,12,1,12,4,0,1,1,0,0,7,7,0,0.0,0,7,7,0,0.0,7.6,0.32,0
434,1,15,1,5,9,1,1,0,0,0,6,7,5,14.2,0,6,7,6,14.571428571428571,15.5,-4.06,1
435,6,12,1,6,6,1,1,1,0,0,8,8,7,13.814285714285717,0,8,8,7,13.814285714285717,12.7,-1.7,1
437,1,14,1,5,6,0,1,1,0,0,6,6,6,14.5,0,6,8,6,13.666666666666666,12.7,-1.7,1
438,5,14,1,3,5,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,7.6,0.32,0
439,1,12,1,10,10,1,1,0,0,0,7,7,6,11.3,0,7,7,6,11.3,7.6,0.32,1
442,6,12,1,10,4,1,1,0,0,0,8,9,7,12.3,0,8,9,7,12.3,12.7,-1.7,1
443,5,12,1,8,9,1,1,1,0,0,8,8,7,12.694285714285714,0,8,8,7,12.694285714285714,10.8,1.74,1
444,1,14,1,2,2,0,1,0,0,0,5,5,4,11.0,0,5,5,4,11.0,9.4,-3.12,1
445,1,10,1,10,4,1,1,1,0,0,6,6,6,13.0,0,6,6,6,14.166666666666666,12.4,1.79,1
446,1,12,1,3,2,0,1,1,0,0,7,8,7,14.4125,0,8,8,8,16.05,13.9,0.79,1
447,2,12,1,8,8,1,1,0,0,0,7,8,7,12.92875,0,8,8,8,14.0625,15.5,-4.06,0
448,2,15,1,10,8,1,1,0,0,0,6,6,6,13.333333333333334,0,6,10,5,12.8,11.1,2.02,1
450,1,12,1,6,6,1,1,0,0,0,8,8,7,14.402857142857142,0,8,8,7,14.402857142857142,10.8,1.74,1
451,4,12,1,10,9,1,1,1,0,0,8,8,7,13.381428571428572,0,8,8,7,13.381428571428572,10.8,1.74,1
452,2,12,1,8,6,1,1,0,0,0,7,8,7,14.13125,0,8,8,8,13.98375,15.5,-4.06,1
453,4,6,1,5,8,0,1,0,0,0,5,11,5,11.714285714285714,0,5,6,5,12.6,9.4,-3.12,1
456,1,4,1,6,7,0,1,0,0,0,6,7,0,0.0,0,6,6,0,0.0,12.4,1.79,0
457,1,16,1,10,9,0,1,0,0,0,6,9,5,13.6,0,6,8,5,12.0,12.7,-1.7,0
459,1,15,1,6,8,0,1,1,0,0,6,7,6,12.5,0,6,8,6,13.333333333333334,16.2,-0.92,1
460,1,8,1,4,3,1,1,0,0,0,5,5,5,16.4,0,5,5,5,14.6,12.7,-1.7,1
462,1,10,1,3,4,0,1,0,0,0,6,8,5,10.6,0,6,11,4,10.5,15.5,-4.06,1
463,1,9,1,4,6,1,1,0,0,0,5,8,5,10.2,0,5,6,5,12.2,12.4,1.79,1
468,5,12,1,5,9,1,1,1,0,0,8,9,8,13.31,0,8,9,8,13.31,9.4,-3.12,1
469,1,10,1,5,10,1,1,1,0,0,6,10,5,10.571428571428571,0,6,9,5,12.2,12.7,-1.7,1
470,3,12,1,10,10,1,1,1,0,0,8,8,7,13.487142857142857,0,8,8,7,13.487142857142857,10.8,1.74,1
471,1,11,1,10,8,0,1,1,0,0,6,6,6,12.333333333333334,0,6,7,6,11.833333333333334,13.9,0.79,1
472,1,14,1,8,11,0,1,0,0,0,6,11,6,11.875,0,6,9,5,12.833333333333334,11.1,2.02,0
473,2,12,1,10,10,1,1,0,0,0,7,7,6,13.966666666666669,0,7,7,6,13.966666666666669,7.6,0.32,1
475,1,14,1,4,6,1,1,0,0,0,5,8,4,11.5,0,5,5,5,12.8,7.6,0.32,1
476,2,13,1,10,10,1,1,0,0,0,2,2,2,12.5,0,7,0,0,0.0,12.4,1.79,0
477,1,12,1,1,1,0,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,7.6,0.32,0
478,1,12,1,4,4,0,1,0,0,0,7,10,6,11.98,0,8,11,7,13.225,16.2,-0.92,1
480,1,12,1,5,5,0,1,0,0,0,7,10,6,11.614285714285714,0,8,8,8,14.0375,13.9,0.79,1
481,6,12,1,2,2,1,1,1,0,0,8,8,7,14.314285714285717,0,8,8,7,14.314285714285717,12.7,-1.7,1
482,3,12,1,3,6,0,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,7.6,0.32,0
484,3,12,1,10,6,1,1,1,0,0,7,9,6,12.766666666666666,0,8,10,7,12.128571428571428,12.4,1.79,1
485,1,16,1,8,10,0,1,1,0,0,6,7,6,12.666666666666666,0,6,7,5,12.2,10.8,1.74,1
488,3,12,1,10,8,1,1,1,0,0,7,8,7,14.70625,0,8,8,8,14.4775,15.5,-4.06,1
489,3,12,1,6,6,1,1,1,0,0,7,9,6,11.814285714285717,0,8,8,7,13.542857142857144,13.9,0.79,1
491,1,14,1,6,6,0,1,0,0,0,6,7,6,14.857142857142858,0,6,6,6,13.333333333333334,12.4,1.79,1
492,6,12,1,4,3,1,1,0,0,0,7,7,6,12.6,0,7,7,6,12.6,7.6,0.32,1
496,1,13,1,10,10,0,1,0,0,0,7,9,1,10.0,0,7,0,0,0.0,12.7,-1.7,0
497,1,11,1,5,4,1,1,0,0,0,6,10,5,11.8,0,6,10,5,12.2,11.1,2.02,1
498,1,5,1,10,8,0,1,0,0,0,6,7,5,11.8,0,6,6,6,12.666666666666666,16.2,-0.92,1
499,1,12,1,8,8,0,1,0,0,0,8,8,8,12.77125,0,8,8,8,12.77125,9.4,-3.12,1
501,2,11,1,10,10,1,1,0,0,0,6,6,6,12.666666666666666,0,6,7,5,14.6,11.1,2.02,1
504,2,12,1,8,8,1,1,1,0,0,8,12,7,11.721428571428572,0,8,12,7,11.721428571428572,12.7,-1.7,1
507,2,15,1,10,4,1,1,0,0,0,6,6,6,12.666666666666666,0,6,6,6,13.666666666666666,12.7,-1.7,1
508,1,8,1,3,3,0,1,0,0,0,5,12,4,13.0,0,5,6,5,14.0,9.4,-3.12,0
509,2,9,1,5,7,0,1,0,0,0,5,6,0,0.0,0,5,5,0,0.0,15.5,-4.06,0
512,2,14,1,1,1,0,1,0,0,0,5,6,4,12.5,0,5,7,4,11.75,7.6,0.32,1
516,1,4,1,10,5,0,1,0,0,0,6,7,6,12.5,0,6,15,5,12.4,8.9,3.51,1
517,2,16,1,10,5,1,1,0,0,0,6,10,5,12.8,0,6,9,3,11.666666666666666,10.8,1.74,0
519,2,16,1,10,10,1,1,0,0,0,6,11,4,11.25,0,6,10,5,10.2,7.6,0.32,0
520,6,12,1,6,6,1,1,1,0,0,8,8,7,12.61,0,8,8,7,12.61,10.8,1.74,1
521,1,8,1,3,10,0,1,0,0,0,5,14,2,12.0,0,5,6,5,12.6,9.4,-3.12,1
525,1,7,1,10,4,0,1,0,0,0,5,12,1,12.0,0,5,9,1,11.0,16.2,-0.92,0
527,1,2,1,3,11,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12,1
529,1,8,1,3,3,1,1,0,0,0,6,11,5,13.625,0,6,9,4,11.75,16.2,-0.92,0
531,1,14,1,10,9,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,13.9,0.79,0
532,2,12,1,3,4,1,1,0,0,0,8,8,7,11.69,0,8,8,7,11.69,10.8,1.74,1
534,1,2,1,3,3,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,15.5,-4.06,1
536,1,7,1,5,5,1,1,0,0,0,5,10,1,14.0,0,5,0,0,0.0,8.9,3.51,0
537,1,11,1,5,5,0,1,0,0,0,6,7,5,11.0,0,6,7,5,12.4,15.5,-4.06,1
538,1,4,1,4,10,1,1,0,0,0,6,7,6,12.857142857142858,0,6,6,6,13.166666666666666,12.4,1.79,1
539,3,15,1,10,10,1,1,0,0,0,6,9,4,12.5,0,6,6,6,11.333333333333334,10.8,1.74,0
540,1,12,1,6,6,0,1,0,0,0,7,7,7,14.528571428571428,0,8,11,8,15.018181818181818,16.2,-0.92,1
542,1,4,1,5,11,0,1,1,0,0,6,8,6,13.0,0,6,10,6,12.625,15.5,-4.06,1
543,1,12,1,6,4,0,1,1,0,0,7,7,7,15.957142857142856,0,8,9,8,15.188888888888888,16.2,-0.92,1
549,2,9,1,10,8,1,1,0,0,0,5,8,5,13.25,0,5,8,5,11.0,13.9,0.79,1
550,5,7,1,5,6,1,1,0,0,0,5,12,3,12.0,0,5,10,3,12.0,12.4,1.79,0
553,3,7,1,4,3,1,1,0,0,0,5,10,2,11.0,0,6,10,0,0.0,11.1,2.02,0
554,2,9,1,5,5,0,1,0,0,0,5,14,0,0.0,0,5,5,0,0.0,11.1,2.02,0
557,1,2,1,10,10,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7.6,0.32,1
559,1,12,1,10,11,1,1,0,0,0,8,8,8,12.5075,0,8,8,8,12.5075,9.4,-3.12,1
563,1,8,1,10,10,1,1,0,0,0,6,6,6,13.5,0,6,9,5,13.2,8.9,3.51,1
564,6,5,1,10,10,1,1,0,0,0,6,6,6,14.166666666666666,0,6,8,6,13.625,10.8,1.74,1
565,1,14,1,4,10,0,1,0,0,0,6,7,6,14.0,0,6,7,6,14.714285714285714,8.9,3.51,1
566,1,4,1,3,5,0,1,0,0,0,3,4,0,0.0,0,3,5,0,0.0,16.2,-0.92,0
567,4,7,1,1,6,1,1,0,0,0,5,9,3,11.666666666666666,0,5,10,3,11.333333333333334,7.6,0.32,0
568,1,6,1,9,9,0,1,0,0,0,5,7,5,14.6,0,5,5,5,14.2,12.7,-1.7,1
569,1,4,1,3,3,0,1,0,0,0,6,10,5,13.0,0,6,13,5,11.5,16.2,-0.92,1
571,1,9,1,10,10,1,1,0,0,0,5,9,0,0.0,0,5,5,1,12.0,7.6,0.32,0
572,6,7,1,6,11,1,1,0,0,0,5,10,3,10.5,0,5,11,3,10.8,12.4,1.79,0
574,4,2,1,10,11,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,9.4,-3.12,1
576,2,12,1,10,10,0,1,0,0,0,8,8,7,13.828571428571427,0,8,8,7,13.828571428571427,12.7,-1.7,1
578,1,10,1,6,6,0,1,0,0,0,6,7,6,11.5,0,6,6,6,11.666666666666666,7.6,0.32,1
579,4,5,1,10,9,1,1,0,0,0,6,6,4,13.5,0,6,8,6,13.625,10.8,1.74,1
581,5,12,1,6,6,1,1,0,0,0,7,8,7,12.5375,0,8,9,7,12.614285714285714,13.9,0.79,1
583,1,9,1,10,9,1,1,0,0,0,5,10,4,12.0,0,5,9,4,12.8,13.9,0.79,1
584,1,11,1,8,8,0,1,0,0,0,6,8,5,11.8,0,6,8,5,11.6,10.8,1.74,1
585,1,9,1,4,4,0,1,1,0,0,5,5,5,15.0,0,5,5,5,15.2,12.7,-1.7,1
586,1,6,1,12,12,0,1,0,0,0,5,7,3,12.0,0,5,7,5,13.2,7.6,0.32,1
587,1,15,1,10,9,1,1,1,0,0,6,6,6,12.833333333333334,0,6,7,6,12.285714285714286,15.5,-4.06,1
588,3,11,1,10,4,1,1,0,0,0,6,12,6,11.666666666666666,0,6,14,3,12.0,7.6,0.32,1
589,4,13,1,6,5,0,1,0,0,0,7,9,7,12.1625,0,8,8,8,13.825,13.9,0.79,1
590,2,14,1,10,4,1,1,0,0,0,6,6,6,13.833333333333334,0,6,11,6,14.555555555555555,10.8,1.74,1
598,1,14,1,8,5,0,1,0,0,0,6,7,6,12.666666666666666,0,6,9,6,13.77777777777778,10.8,1.74,1
600,1,8,1,10,10,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79,0
604,1,12,1,4,9,0,1,1,0,0,7,9,7,13.055555555555555,0,8,8,8,15.8125,13.9,0.79,1
606,1,8,1,4,3,1,1,1,0,0,5,7,0,0.0,0,5,5,0,0.0,7.6,0.32,0
607,6,12,1,8,8,1,1,1,0,0,8,8,7,12.355714285714283,0,8,8,7,12.355714285714283,10.8,1.74,1
608,1,6,1,32,44,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79,0
610,2,16,1,29,41,1,1,1,0,0,7,7,7,13.857142857142858,0,7,8,7,12.571428571428571,8.9,3.51,1
612,1,5,1,2,2,1,1,0,0,0,6,6,6,12.833333333333334,0,6,10,6,11.166666666666666,12.4,1.79,1
614,1,12,1,10,10,1,1,1,0,0,8,8,7,12.357142857142858,0,8,8,7,12.357142857142858,12.7,-1.7,1
615,6,12,1,10,10,1,1,1,0,0,8,8,7,13.857142857142858,0,8,8,7,13.857142857142858,12.7,-1.7,1
616,2,10,1,8,9,1,1,1,0,0,6,6,6,12.333333333333334,0,6,6,6,10.666666666666666,9.4,-3.12,1
617,1,12,1,10,9,1,1,0,0,0,7,8,7,12.847142857142858,0,8,10,8,13.788888888888888,16.2,-0.92,1
618,2,12,1,5,8,1,1,1,0,0,7,9,6,12.339999999999998,0,8,9,8,13.01875,11.1,2.02,1
620,1,15,1,5,6,1,1,0,0,0,6,6,6,13.833333333333334,0,6,6,6,12.5,12.7,-1.7,1
621,2,9,1,5,4,1,1,0,0,0,5,15,2,10.75,0,5,11,2,10.0,13.9,0.79,0
622,5,16,1,10,8,1,1,0,0,0,6,11,4,13.25,0,6,10,4,10.25,9.4,-3.12,0
623,1,12,1,8,6,1,1,1,0,0,8,8,8,13.73125,0,8,8,8,13.73125,9.4,-3.12,1
624,4,5,1,10,10,0,1,1,0,0,6,6,6,13.333333333333334,0,6,8,3,12.666666666666666,11.1,2.02,0
625,1,16,1,10,9,1,1,0,0,0,6,8,5,12.0,0,6,9,5,10.8,12.7,-1.7,0
627,3,12,1,10,8,1,1,0,0,0,7,8,7,13.025,0,8,9,8,13.811111111111112,13.9,0.79,1
628,2,15,1,6,7,1,1,0,0,0,6,6,6,13.0,0,6,6,6,14.166666666666666,12.4,1.79,1
629,1,15,1,10,10,1,1,0,0,0,6,10,5,11.8,0,6,10,5,12.0,10.8,1.74,1
630,1,12,1,10,10,0,1,1,0,0,8,8,7,12.042857142857144,0,8,8,7,12.042857142857144,12.7,-1.7,1
632,1,12,1,6,8,0,1,1,0,0,7,8,7,12.8375,0,8,8,8,15.5,13.9,0.79,1
633,1,13,1,29,44,0,1,1,0,0,7,13,7,11.0,0,8,13,7,11.7,12.7,-1.7,1
634,1,14,1,10,8,1,1,1,0,0,6,7,6,13.5,0,6,9,5,14.0,8.9,3.51,1
635,5,10,1,8,6,1,1,1,0,0,6,8,6,12.125,0,6,7,6,12.714285714285714,16.2,-0.92,1
636,5,12,1,10,10,0,1,1,0,0,8,12,7,12.62857142857143,0,8,12,7,12.62857142857143,12.7,-1.7,1
638,3,10,1,5,6,0,1,0,0,0,6,11,5,11.2,0,6,13,5,11.6,15.5,-4.06,1
639,1,15,1,4,4,0,1,1,0,0,6,6,6,12.666666666666666,0,6,6,6,11.833333333333334,12.7,-1.7,0
649,1,14,1,6,2,1,1,0,0,0,5,6,4,11.5,0,5,5,4,10.75,9.4,-3.12,1
650,1,10,1,6,1,1,1,0,0,0,6,8,6,15.375,0,6,7,6,16.428571428571427,16.2,-0.92,1
652,1,12,1,5,4,0,1,0,0,0,8,11,7,12.614285714285714,0,8,11,7,12.614285714285714,12.7,-1.7,1
654,1,15,1,4,6,0,1,0,0,0,6,13,4,11.75,0,6,10,4,11.0,10.8,1.74,1
658,1,5,1,6,11,0,1,0,0,0,6,6,5,12.4,0,6,9,5,12.4,12.7,-1.7,1
659,1,4,1,10,10,0,1,0,0,0,6,6,0,0.0,0,6,6,0,0.0,11.1,2.02,0
660,1,4,1,5,3,0,1,0,0,0,6,6,6,15.833333333333334,0,6,8,6,15.5,15.5,-4.06,1
662,4,15,1,5,2,1,1,0,0,0,6,7,6,12.571428571428571,0,6,6,6,13.666666666666666,13.9,0.79,1
663,3,14,1,1,1,1,1,0,0,0,5,7,3,12.0,0,5,7,4,13.25,7.6,0.32,1
664,3,12,1,10,8,1,1,0,0,0,7,8,7,13.3625,0,8,9,8,14.444444444444445,13.9,0.79,1
668,5,12,1,5,9,1,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,12.4,1.79,0
670,1,10,1,10,10,1,1,1,0,0,6,8,6,14.25,0,6,8,6,11.0,12.7,-1.7,1
672,4,12,1,10,8,1,1,1,0,0,7,8,7,12.285714285714286,0,8,10,8,11.7375,12.4,1.79,1
673,2,5,1,4,4,1,1,0,0,0,6,7,6,11.666666666666666,0,6,7,5,13.2,12.7,-1.7,1
674,1,11,1,6,9,1,1,0,0,0,6,8,6,12.166666666666666,0,6,6,6,13.5,11.1,2.02,1
675,1,16,1,10,10,1,1,0,0,0,6,11,2,10.0,0,6,15,2,11.0,7.6,0.32,0
676,4,5,1,6,8,1,1,0,0,0,6,6,6,14.0,0,6,6,6,15.0,11.1,2.02,1
687,3,12,1,10,9,1,1,0,0,0,7,8,7,11.8375,0,8,9,8,12.48125,13.9,0.79,1
690,1,8,1,10,5,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,0
695,1,9,1,6,6,1,1,0,0,0,5,15,4,13.333333333333334,0,5,6,2,13.5,13.9,0.79,0
698,1,4,1,10,2,1,1,0,0,0,6,12,5,12.6,0,6,11,6,11.714285714285714,12.4,1.79,1
699,1,7,1,6,8,0,1,0,0,0,5,10,3,17.333333333333332,0,5,11,1,17.0,13.9,0.79,0
701,1,9,1,10,4,0,1,0,0,0,5,9,3,14.0,0,5,8,3,13.666666666666666,8.9,3.51,0
712,1,6,1,12,12,0,1,0,0,0,5,7,4,13.5,0,5,6,5,11.6,7.6,0.32,1
713,1,12,1,3,3,0,1,0,0,0,8,8,7,13.105714285714283,0,8,8,7,13.105714285714283,10.8,1.74,1
714,1,6,1,7,7,0,1,0,0,0,5,8,5,13.5,0,5,5,5,14.4,9.4,-3.12,1
716,1,8,1,1,12,0,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32,0
722,1,2,1,10,6,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7.6,0.32,1
731,1,4,1,5,7,0,1,0,0,0,6,12,5,12.142857142857142,0,6,11,5,11.666666666666666,13.9,0.79,1
732,1,11,1,7,7,1,1,0,0,0,6,9,6,12.0,0,6,8,5,11.6,13.9,0.79,1
733,2,9,1,5,8,0,1,0,0,0,5,10,3,11.666666666666666,0,5,7,4,12.75,9.4,-3.12,1
734,1,8,1,7,8,1,1,0,0,0,6,9,0,0.0,0,6,6,0,0.0,16.2,-0.92,0
735,2,14,1,5,11,1,1,0,0,0,6,10,6,11.875,0,6,8,5,12.0,11.1,2.02,1
737,2,11,1,6,8,1,1,0,0,0,6,17,2,10.0,0,6,15,3,11.333333333333334,7.6,0.32,0
740,1,5,1,10,8,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79,0
741,1,11,1,3,3,0,1,0,0,0,6,7,6,14.428571428571429,0,6,6,6,12.5,8.9,3.51,1
742,3,12,1,4,4,1,1,0,0,0,7,8,5,14.2,0,7,9,6,12.4,12.4,1.79,0
744,1,15,1,10,10,1,1,0,0,0,6,7,5,13.0,0,6,6,6,15.0,9.4,-3.12,1
748,1,14,1,12,4,1,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32,0
749,2,12,1,6,4,1,1,0,0,0,7,7,7,13.471428571428572,0,8,9,8,13.944444444444445,16.2,-0.92,1
750,2,14,1,6,6,1,1,0,0,0,5,5,4,11.75,0,5,5,3,13.333333333333334,9.4,-3.12,1
751,1,5,1,10,10,1,1,1,0,0,6,9,6,13.333333333333334,0,6,10,6,14.666666666666666,12.7,-1.7,1
752,1,12,1,4,4,1,1,1,0,0,8,8,8,13.105,0,8,8,8,13.105,9.4,-3.12,1
754,3,5,1,10,10,1,1,1,0,0,6,6,6,15.5,0,6,7,6,12.166666666666666,12.4,1.79,1
758,1,11,1,4,4,1,1,0,0,0,6,10,6,12.333333333333334,0,6,9,4,13.0,12.4,1.79,1
769,5,14,1,6,6,1,1,0,0,0,6,6,6,15.166666666666666,0,6,9,6,14.0,10.8,1.74,1
770,1,6,1,10,10,1,1,1,0,0,6,8,6,15.142857142857142,0,6,8,6,15.142857142857142,11.1,2.02,1
771,6,15,1,6,6,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79,0
773,2,10,1,5,11,1,1,0,0,0,6,7,6,12.333333333333334,0,6,7,6,12.166666666666666,9.4,-3.12,1
776,1,6,1,5,5,0,1,0,0,0,6,7,6,15.0,0,6,8,6,15.625,12.4,1.79,1
779,3,15,1,6,6,1,1,1,0,0,6,6,6,12.5,0,6,6,6,13.833333333333334,16.2,-0.92,1
780,1,15,1,8,8,1,1,1,0,0,6,6,6,15.0,0,6,6,6,15.5,8.9,3.51,1
781,1,14,1,6,5,1,1,0,0,0,6,10,2,11.666666666666666,0,6,10,4,10.5,15.5,-4.06,0
782,1,12,1,4,9,0,1,1,0,0,7,10,7,14.668,0,8,8,8,14.63375,15.5,-4.06,1
784,2,15,1,10,10,1,1,1,0,0,6,7,5,12.8,0,6,6,6,12.333333333333334,12.4,1.79,1
785,1,10,1,2,2,1,1,0,0,0,6,10,6,10.833333333333334,0,6,7,6,12.142857142857142,11.1,2.02,1
786,1,5,1,2,3,1,1,0,0,0,6,6,6,13.666666666666666,0,6,6,5,14.0,12.7,-1.7,1
787,1,12,1,5,6,0,1,0,0,0,8,8,7,14.537142857142856,0,8,8,7,14.537142857142856,10.8,1.74,1
788,3,6,1,1,12,0,1,1,0,0,5,5,5,14.4,0,5,5,5,14.0,7.6,0.32,0
789,3,2,1,6,5,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,12.7,-1.7,1
790,1,15,1,10,10,0,1,1,0,0,6,6,6,13.166666666666666,0,6,6,6,13.833333333333334,11.1,2.02,1
792,1,10,1,10,3,0,1,1,0,0,6,7,6,11.333333333333334,0,6,7,6,12.428571428571429,11.1,2.02,1
793,3,10,1,3,6,1,1,0,0,0,6,6,6,12.0,0,6,6,5,13.6,8.9,3.51,1
794,3,15,1,4,4,0,1,1,0,0,6,6,6,13.166666666666666,0,6,6,6,12.166666666666666,12.4,1.79,1
795,3,15,1,6,9,1,1,1,0,0,6,6,6,14.833333333333334,0,6,6,6,14.166666666666666,8.9,3.51,1
797,3,12,1,5,9,1,1,0,0,0,7,8,7,13.087142857142856,0,8,8,8,12.95,11.1,2.02,1
798,1,8,1,10,10,1,1,1,0,0,6,8,6,13.333333333333334,0,6,7,6,13.666666666666666,8.9,3.51,1
802,4,9,1,6,6,1,1,0,0,0,5,7,5,13.6,0,5,6,5,12.2,8.9,3.51,1
803,1,15,1,10,10,1,1,0,0,0,6,6,6,15.5,0,6,6,6,14.0,11.1,2.02,1
804,3,16,1,6,4,0,1,0,0,0,7,7,7,13.857142857142858,0,7,7,7,14.285714285714286,11.1,2.02,1
806,3,5,1,4,6,1,1,1,0,0,6,6,6,13.0,0,6,6,6,12.166666666666666,16.2,-0.92,1
808,4,15,1,5,8,1,1,0,0,0,4,4,0,0.0,0,6,0,0,0.0,8.9,3.51,0
811,2,16,1,6,8,1,1,1,0,0,7,8,7,12.142857142857142,0,7,9,6,13.666666666666666,11.1,2.02,1
812,1,12,1,10,10,0,1,1,0,0,7,7,7,14.145714285714286,0,8,9,8,13.627777777777778,11.1,2.02,1
813,1,12,1,4,4,0,1,0,0,0,7,7,7,14.45,0,8,9,8,14.144444444444444,11.1,2.02,1
814,1,16,1,5,5,0,1,0,0,0,7,7,7,15.714285714285714,0,7,7,7,15.0,11.1,2.02,1
817,1,5,1,5,5,1,1,0,0,0,6,6,6,14.5,0,6,6,6,12.833333333333334,12.4,1.79,1
820,1,9,1,10,10,1,1,1,0,0,5,10,5,12.0,0,5,8,4,11.6,13.9,0.79,1
821,3,2,1,10,4,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,13.9,0.79,1
823,2,10,1,10,10,1,1,1,0,0,6,7,6,12.571428571428571,0,6,7,6,13.285714285714286,12.4,1.79,1
824,4,15,1,10,10,1,1,1,0,0,6,6,6,12.5,0,6,6,6,11.5,11.1,2.02,1
825,3,14,1,5,4,1,1,0,0,0,6,8,6,14.0,0,6,9,5,14.0,8.9,3.51,1
826,1,16,1,6,8,1,1,0,0,0,7,8,7,11.571428571428571,0,7,9,6,13.166666666666666,11.1,2.02,0
827,3,5,1,10,8,1,1,1,0,0,6,6,6,15.833333333333334,0,6,6,6,15.333333333333334,11.1,2.02,1
828,4,12,1,5,6,1,1,0,0,0,8,8,8,14.25,0,8,8,8,14.25,9.4,-3.12,1
